id,method,valid,title,description
35,GET,True,Implement/Test API: GET /1.0/kb/accounts/{accountId}/allCustomFields - Retrieve account customFields,"This API retrieves all custom fields associated with an account, optionally filtered by object type.

As a user of KillBill API, I should be able to retrieve all custom fields for an account based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

GET {{baseUrl}}/1.0/kb/accounts/{accountId}/allCustomFields

Path Parameters:
- `accountId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the account. Required: true.

Query Parameters:
- `objectType` (`string`, enum: `[ACCOUNT, ACCOUNT_EMAIL, BLOCKING_STATES, BUNDLE, CUSTOM_FIELD, INVOICE, PAYMENT, TRANSACTION, INVOICE_ITEM, INVOICE_PAYMENT, SUBSCRIPTION, SUBSCRIPTION_EVENT, SERVICE_BROADCAST, PAYMENT_ATTEMPT, PAYMENT_METHOD, TAG, TAG_DEFINITION, TENANT, TENANT_KVS]`): Filter custom fields by the type of object they are attached to. Required: false.
- `audit` (`string`, default: `NONE`, enum: `[FULL, MINIMAL, NONE]`): Level of audit information to retrieve. Required: false.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 200 (successful operation).
- The response body will be a JSON array of `CustomField` objects (as defined in #/definitions/CustomField).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid account ID is supplied.
- Respond with HTTP status code 404 if the account is not found."
36,GET,True,Implement/Test API: GET /1.0/kb/accounts/{accountId}/allTags - Retrieve account tags,"This API retrieves all tags associated with an account, optionally filtered by object type.

As a user of KillBill API, I should be able to retrieve all tags for an account based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

GET {{baseUrl}}/1.0/kb/accounts/{accountId}/allTags

Path Parameters:
- `accountId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the account. Required: true.

Query Parameters:
- `objectType` (`string`, enum: `[ACCOUNT, ACCOUNT_EMAIL, BLOCKING_STATES, BUNDLE, CUSTOM_FIELD, INVOICE, PAYMENT, TRANSACTION, INVOICE_ITEM, INVOICE_PAYMENT, SUBSCRIPTION, SUBSCRIPTION_EVENT, SERVICE_BROADCAST, PAYMENT_ATTEMPT, PAYMENT_METHOD, TAG, TAG_DEFINITION, TENANT, TENANT_KVS]`): Filter tags by the type of object they are attached to. Required: false.
- `includedDeleted` (`boolean`, default: `false`): If true, includes deleted tags. Required: false.
- `audit` (`string`, default: `NONE`, enum: `[FULL, MINIMAL, NONE]`): Level of audit information to retrieve. Required: false.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 200 (successful operation).
- The response body will be a JSON array of `Tag` objects (as defined in #/definitions/Tag).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid account ID is supplied.
- Respond with HTTP status code 404 if the account is not found."
37,DELETE,True,Implement/Test API: DELETE /1.0/kb/accounts/{accountId}/emails/{email} - Delete email from account,"This API deletes a specific email address from an account.

As a user of KillBill API, I should be able to delete an email from an account based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

DELETE {{baseUrl}}/1.0/kb/accounts/{accountId}/emails/{email}

Path Parameters:
- `accountId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the account. Required: true.
- `email` (`string`): The email address to delete. Required: true.

Header Parameters:
- `X-Killbill-CreatedBy` (`string`): The user deleting the email. Required: true.
- `X-Killbill-Reason` (`string`): The reason for deleting the email. Required: false.
- `X-Killbill-Comment` (`string`): Additional comments. Required: false.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 204 (Successful operation).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid account ID or email is supplied.
- Respond with HTTP status code 404 if the account or email is not found."
38,GET,True,Implement/Test API: GET /1.0/kb/accounts/{accountId}/emails/{accountEmailId}/auditLogsWithHistory - Retrieve account email audit logs with history by id,"This API retrieves audit logs with history for a specific account email by its ID.

As a user of KillBill API, I should be able to retrieve audit logs for an account email based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

GET {{baseUrl}}/1.0/kb/accounts/{accountId}/emails/{accountEmailId}/auditLogsWithHistory

Path Parameters:
- `accountId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the account. Required: true.
- `accountEmailId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the account email record. Required: true.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 200 (successful operation).
- The response body will be a JSON array of `AuditLog` objects (as defined in #/definitions/AuditLog).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 404 if the account or account email is not found."
39,GET,True,Implement/Test API: GET /1.0/kb/accounts/{accountId}/children - List children accounts,"This API lists children accounts for a given parent account ID.

As a user of KillBill API, I should be able to list children accounts of a parent account based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

GET {{baseUrl}}/1.0/kb/accounts/{accountId}/children

Path Parameters:
- `accountId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the parent account. Required: true.

Query Parameters:
- `accountWithBalance` (`boolean`, default: `false`): If true, includes account balance for each child account. Required: false.
- `accountWithBalanceAndCBA` (`boolean`, default: `false`): If true, includes account balance and CBA for each child account. Required: false.
- `audit` (`string`, default: `NONE`, enum: `[FULL, MINIMAL, NONE]`): Level of audit information to retrieve for each child account. Required: false.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 200 (successful operation).
- The response body will be a JSON array of `Account` objects (as defined in #/definitions/Account), representing the children accounts.
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid parent account ID is supplied.
- Respond with HTTP status code 404 if the parent account is not found."
40,PUT,True,Implement/Test API: PUT /1.0/kb/accounts/{childAccountId}/transferCredit - Move a given child credit to the parent level,"This API moves a given child account's credit to its parent account.

As a user of KillBill API, I should be able to transfer credit from a child account to its parent based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

PUT {{baseUrl}}/1.0/kb/accounts/{childAccountId}/transferCredit

Path Parameters:
- `childAccountId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the child account from which to transfer credit. Required: true.

Header Parameters:
- `X-Killbill-CreatedBy` (`string`): The user performing the credit transfer. Required: true.
- `X-Killbill-Reason` (`string`): The reason for the credit transfer. Required: false.
- `X-Killbill-Comment` (`string`): Additional comments. Required: false.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 204 (Successful operation).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if the child account does not have credit to transfer or other validation fails.
- Respond with HTTP status code 404 if the child account or its parent account is not found."
41,GET,True,Implement/Test API: GET /1.0/kb/accounts/{accountId}/auditLogsWithHistory - Retrieve account audit logs with history by account id,"This API retrieves audit logs with history for a specific account by its ID.

As a user of KillBill API, I should be able to retrieve audit logs with history for an account based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

GET {{baseUrl}}/1.0/kb/accounts/{accountId}/auditLogsWithHistory

Path Parameters:
- `accountId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the account. Required: true.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 200 (successful operation).
- The response body will be a JSON array of `AuditLog` objects (as defined in #/definitions/AuditLog).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 404 if the account is not found."
42,GET,True,Implement/Test API: GET /1.0/kb/admin/queues - Get queues entries,"This Admin API retrieves entries from various system queues.

As an administrator of KillBill, I should be able to retrieve queue entries based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

GET {{baseUrl}}/1.0/kb/admin/queues

Query Parameters:
- `accountId` (`string`, format: `uuid`): Filter by account ID. Required: false.
- `queueName` (`string`): Filter by queue name. Required: false.
- `serviceName` (`string`): Filter by service name. Required: false.
- `withHistory` (`boolean`, default: `true`): Include history. Required: false.
- `minDate` (`string`): Minimum date for entries. Required: false.
- `maxDate` (`string`): Maximum date for entries. Required: false.
- `withInProcessing` (`boolean`, default: `true`): Include in-processing entries. Required: false.
- `withBusEvents` (`boolean`, default: `true`): Include bus events. Required: false.
- `withNotifications` (`boolean`, default: `true`): Include notifications. Required: false.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 200 (Success).
- The response body will be an octet-stream containing the queue entries data.
- Produces: application/octet-stream.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid account ID is supplied (if provided).
- Respond with HTTP status code 404 if an account is not found (if accountId provided and not found)."
43,PUT,True,Implement/Test API: PUT /1.0/kb/admin/payments/{paymentId}/transactions/{paymentTransactionId} - Update existing paymentTransaction and associated payment state,"This Admin API updates an existing payment transaction and its associated payment state.

As an administrator of KillBill, I should be able to update a payment transaction state based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

PUT {{baseUrl}}/1.0/kb/admin/payments/{paymentId}/transactions/{paymentTransactionId}

Path Parameters:
- `paymentId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the payment. Required: true.
- `paymentTransactionId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the payment transaction. Required: true.

Header Parameters:
- `X-Killbill-CreatedBy` (`string`): The user performing the update. Required: true.
- `X-Killbill-Reason` (`string`): The reason for the update. Required: false.
- `X-Killbill-Comment` (`string`): Additional comments. Required: false.

Request Body:
- Consumes: application/json
- Required: true
- Schema: An `AdminPayment` object (as defined in #/definitions/AdminPayment) specifying the new state details (e.g., `lastSuccessPaymentState`, `currentPaymentStateName`, `transactionStatus`).

Other Notes:
This is a powerful administrative operation and should be used with caution.

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 204 (Successful operation).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if invalid data is supplied (e.g., invalid paymentId, transactionId, or inconsistent state data in the body).
- Respond with HTTP status code 404 if the payment or transaction is not found."
44,POST,True,Implement/Test API: POST /1.0/kb/admin/invoices - Trigger an invoice generation for all parked accounts,"This Admin API triggers invoice generation for all parked accounts, with optional pagination for processing.

As an administrator of KillBill, I should be able to trigger invoice generation for parked accounts based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

POST {{baseUrl}}/1.0/kb/admin/invoices

Query Parameters:
- `offset` (`integer`, format: `int64`, default: `0`): Offset for parked accounts processing. Required: false.
- `limit` (`integer`, format: `int64`, default: `100`): Limit for parked accounts processing. Required: false.

Header Parameters:
- `X-Killbill-CreatedBy` (`string`): The user initiating the operation. Required: true.
- `X-Killbill-Reason` (`string`): The reason for the operation. Required: false.
- `X-Killbill-Comment` (`string`): Additional comments. Required: false.

Request Body:
N/A (though consumes `application/json`, typically used for query params or headers here)

Other Notes:
This is an administrative operation that can impact many accounts.

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 200 (Successful operation).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code >=400 depending on the error encountered (e.g., issues with processing)."
45,DELETE,True,"Implement/Test API: DELETE /1.0/kb/admin/cache - Invalidates the given Cache if specified, otherwise invalidates all caches","This Admin API invalidates system caches. It can invalidate a specific cache or all caches.

As an administrator of KillBill, I should be able to invalidate caches based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

DELETE {{baseUrl}}/1.0/kb/admin/cache

Query Parameters:
- `cacheName` (`string`): The name of the specific cache to invalidate. If not provided, all caches are invalidated. Required: false.

Request Body:
N/A

Other Notes:
Invalidating caches can impact system performance temporarily.

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 204 (Successful operation).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if the specified `cacheName` does not exist or is not alive."
46,DELETE,True,Implement/Test API: DELETE /1.0/kb/admin/cache/accounts/{accountId} - Invalidates Caches per account level,"This Admin API invalidates caches related to a specific account.

As an administrator of KillBill, I should be able to invalidate account-level caches based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

DELETE {{baseUrl}}/1.0/kb/admin/cache/accounts/{accountId}

Path Parameters:
- `accountId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the account for which to invalidate caches. Required: true.

Request Body:
N/A

Other Notes:
Invalidating account caches can be useful for troubleshooting or applying certain configuration changes.

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 204 (Successful operation).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid account ID is supplied.
- Respond with HTTP status code 404 if the account is not found."
47,DELETE,True,Implement/Test API: DELETE /1.0/kb/admin/cache/tenants - Invalidates Caches per tenant level,"This Admin API invalidates caches for the current tenant.

As an administrator of KillBill (for a specific tenant context), I should be able to invalidate tenant-level caches based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

DELETE {{baseUrl}}/1.0/kb/admin/cache/tenants

Request Body:
N/A

Other Notes:
Invalidating tenant caches can impact performance for that tenant temporarily.

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 204 (Successful operation).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code >=400 if any error occurs during cache invalidation for the tenant."
48,PUT,True,Implement/Test API: PUT /1.0/kb/admin/healthcheck - Put the host back into rotation,"This Admin API puts the Kill Bill host back into rotation, typically for load balancing purposes.

As an administrator of KillBill, I should be able to put a host back into rotation based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

PUT {{baseUrl}}/1.0/kb/admin/healthcheck

Request Body:
N/A

Other Notes:
This is part of health check and operational management.

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 204 (Successful operation).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code >=400 if any error occurs during the operation."
49,DELETE,True,Implement/Test API: DELETE /1.0/kb/admin/healthcheck - Put the host out of rotation,"This Admin API takes the Kill Bill host out of rotation, typically for maintenance or load balancing purposes.

As an administrator of KillBill, I should be able to put a host out of rotation based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

DELETE {{baseUrl}}/1.0/kb/admin/healthcheck

Request Body:
N/A

Other Notes:
This is part of health check and operational management.

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 204 (Successful operation).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code >=400 if any error occurs during the operation."
50,GET,True,Implement/Test API: GET /1.0/kb/bundles/{bundleId} - Retrieve a bundle by id,"This API retrieves a subscription bundle by its ID.

As a user of KillBill API, I should be able to retrieve a bundle by its ID based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

GET {{baseUrl}}/1.0/kb/bundles/{bundleId}

Path Parameters:
- `bundleId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the bundle. Required: true.

Query Parameters:
- `audit` (`string`, default: `NONE`, enum: `[FULL, MINIMAL, NONE]`): Level of audit information to retrieve. Required: false.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 200 (successful operation).
- The response body will be a JSON `Bundle` object (as defined in #/definitions/Bundle).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid bundle ID is supplied.
- Respond with HTTP status code 404 if the bundle is not found."
51,POST,True,Implement/Test API: POST /1.0/kb/bundles/{bundleId} - Transfer a bundle to another account,"This API transfers a subscription bundle from its current account to a new target account.

As a user of KillBill API, I should be able to transfer a bundle to another account based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

POST {{baseUrl}}/1.0/kb/bundles/{bundleId}

Path Parameters:
- `bundleId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the bundle to transfer. Required: true.

Query Parameters:
- `requestedDate` (`string`, format: `date`): The effective date of the transfer. Required: false.
- `billingPolicy` (`string`, default: `END_OF_TERM`, enum: `[START_OF_TERM, END_OF_TERM, IMMEDIATE, ILLEGAL]`): The billing policy to apply for the transfer. Required: false.
- `pluginProperty` (`array` of `string`, collectionFormat: `multi`): Additional plugin properties. Required: false.

Header Parameters:
- `X-Killbill-CreatedBy` (`string`): The user performing the transfer. Required: true.
- `X-Killbill-Reason` (`string`): The reason for the transfer. Required: false.
- `X-Killbill-Comment` (`string`): Additional comments. Required: false.

Request Body:
- Consumes: application/json
- Required: true
- Schema: A `Bundle` object (as defined in #/definitions/Bundle). The key field to provide in the body is `accountId` (the target account ID for the transfer).
  Example:
  ```json
  {
    ""accountId"": ""new-account-uuid""
  }
  ```

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 201 (Bundle transferred successfully).
- The response body will be a JSON `Bundle` object (as defined in #/definitions/Bundle) representing the transferred bundle in its new state.
- The `Location` header will contain the URL of the transferred bundle.
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid bundle ID, requested date, policy, or target account ID is supplied.
- Respond with HTTP status code 404 if the bundle or target account is not found."
52,GET,True,Implement/Test API: GET /1.0/kb/bundles/{bundleId}/tags - Retrieve bundle tags,"This API retrieves tags for a specific bundle.

As a user of KillBill API, I should be able to retrieve tags for a bundle based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

GET {{baseUrl}}/1.0/kb/bundles/{bundleId}/tags

Path Parameters:
- `bundleId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the bundle. Required: true.

Query Parameters:
- `includedDeleted` (`boolean`, default: `false`): If true, includes deleted tags. Required: false.
- `audit` (`string`, default: `NONE`, enum: `[FULL, MINIMAL, NONE]`): Level of audit information to retrieve. Required: false.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 200 (successful operation).
- The response body will be a JSON array of `Tag` objects (as defined in #/definitions/Tag).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid bundle ID is supplied.
- Respond with HTTP status code 404 if the bundle is not found."
53,POST,True,Implement/Test API: POST /1.0/kb/bundles/{bundleId}/tags - Add tags to bundle,"This API adds tags to a specific bundle.

As a user of KillBill API, I should be able to add tags to a bundle based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

POST {{baseUrl}}/1.0/kb/bundles/{bundleId}/tags

Path Parameters:
- `bundleId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the bundle. Required: true.

Header Parameters:
- `X-Killbill-CreatedBy` (`string`): The user creating the tags. Required: true.
- `X-Killbill-Reason` (`string`): The reason for creating the tags. Required: false.
- `X-Killbill-Comment` (`string`): Additional comments. Required: false.

Request Body:
- Consumes: application/json
- Required: true
- Schema: A JSON array of strings, where each string is a UUID representing a tag definition ID.
  Example:
  ```json
  [
    ""tag-definition-uuid-1"",
    ""tag-definition-uuid-2""
  ]
  ```

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 201 (Tag created successfully).
- The response body will be a JSON array of `Tag` objects (as defined in #/definitions/Tag) representing the created tags.
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid bundle ID is supplied or the request body is malformed."
54,DELETE,True,Implement/Test API: DELETE /1.0/kb/bundles/{bundleId}/tags - Remove tags from bundle,"This API removes tags from a specific bundle.

As a user of KillBill API, I should be able to remove tags from a bundle based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

DELETE {{baseUrl}}/1.0/kb/bundles/{bundleId}/tags

Path Parameters:
- `bundleId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the bundle. Required: true.

Query Parameters:
- `tagDef` (`array` of `string` with format `uuid`, collectionFormat: `multi`): List of tag definition IDs to remove. Required: false.

Header Parameters:
- `X-Killbill-CreatedBy` (`string`): The user deleting the tags. Required: true.
- `X-Killbill-Reason` (`string`): The reason for deleting the tags. Required: false.
- `X-Killbill-Comment` (`string`): Additional comments. Required: false.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 204 (Successful operation).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid bundle ID is supplied."
55,GET,True,Implement/Test API: GET /1.0/kb/bundles/{bundleId}/customFields - Retrieve bundle custom fields,"This API retrieves custom fields for a specific bundle.

As a user of KillBill API, I should be able to retrieve custom fields for a bundle based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

GET {{baseUrl}}/1.0/kb/bundles/{bundleId}/customFields

Path Parameters:
- `bundleId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the bundle. Required: true.

Query Parameters:
- `audit` (`string`, default: `NONE`, enum: `[FULL, MINIMAL, NONE]`): Level of audit information to retrieve. Required: false.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 200 (successful operation).
- The response body will be a JSON array of `CustomField` objects (as defined in #/definitions/CustomField).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid bundle ID is supplied.
- Respond with HTTP status code 404 if the bundle is not found."
56,POST,True,Implement/Test API: POST /1.0/kb/bundles/{bundleId}/customFields - Add custom fields to bundle,"This API adds custom fields to a specific bundle.

As a user of KillBill API, I should be able to add custom fields to a bundle based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

POST {{baseUrl}}/1.0/kb/bundles/{bundleId}/customFields

Path Parameters:
- `bundleId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the bundle. Required: true.

Header Parameters:
- `X-Killbill-CreatedBy` (`string`): The user creating the custom fields. Required: true.
- `X-Killbill-Reason` (`string`): The reason for creating the custom fields. Required: false.
- `X-Killbill-Comment` (`string`): Additional comments. Required: false.

Request Body:
- Consumes: application/json
- Required: true
- Schema: A JSON array of `CustomField` objects (as defined in #/definitions/CustomField).

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 201 (Custom field created successfully).
- The response body will be a JSON array of `CustomField` objects (as defined in #/definitions/CustomField) representing the created custom fields.
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid bundle ID is supplied or the request body is malformed.
- Respond with HTTP status code 404 if the bundle is not found."
57,PUT,True,Implement/Test API: PUT /1.0/kb/bundles/{bundleId}/customFields - Modify custom fields to bundle,"This API modifies custom fields for a specific bundle.

As a user of KillBill API, I should be able to modify custom fields for a bundle based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

PUT {{baseUrl}}/1.0/kb/bundles/{bundleId}/customFields

Path Parameters:
- `bundleId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the bundle. Required: true.

Header Parameters:
- `X-Killbill-CreatedBy` (`string`): The user modifying the custom fields. Required: true.
- `X-Killbill-Reason` (`string`): The reason for modifying the custom fields. Required: false.
- `X-Killbill-Comment` (`string`): Additional comments. Required: false.

Request Body:
- Consumes: application/json
- Required: true
- Schema: A JSON array of `CustomField` objects (as defined in #/definitions/CustomField) to be modified.

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 204 (Successful operation).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid bundle ID is supplied or the request body is malformed.
- Respond with HTTP status code 404 if the bundle is not found."
58,DELETE,True,Implement/Test API: DELETE /1.0/kb/bundles/{bundleId}/customFields - Remove custom fields from bundle,"This API removes custom fields from a specific bundle.

As a user of KillBill API, I should be able to remove custom fields from a bundle based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

DELETE {{baseUrl}}/1.0/kb/bundles/{bundleId}/customFields

Path Parameters:
- `bundleId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the bundle. Required: true.

Query Parameters:
- `customField` (`array` of `string` with format `uuid`, collectionFormat: `multi`): List of custom field IDs to remove. Required: false. If not specified, all custom fields for the bundle will be removed.

Header Parameters:
- `X-Killbill-CreatedBy` (`string`): The user deleting the custom fields. Required: true.
- `X-Killbill-Reason` (`string`): The reason for deleting the custom fields. Required: false.
- `X-Killbill-Comment` (`string`): Additional comments. Required: false.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 204 (Successful operation).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid bundle ID is supplied.
- Respond with HTTP status code 404 if the bundle is not found."
59,GET,True,Implement/Test API: GET /1.0/kb/bundles - Retrieve a bundle by external key,"This API retrieves a subscription bundle by its external key.

As a user of KillBill API, I should be able to retrieve a bundle by its external key based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

GET {{baseUrl}}/1.0/kb/bundles

Query Parameters:
- `externalKey` (`string`): The external key of the bundle. Required: true.
- `includedDeleted` (`boolean`, default: `false`): If true, include deleted bundles. Required: false.
- `audit` (`string`, default: `NONE`, enum: `[FULL, MINIMAL, NONE]`): Level of audit information to retrieve. Required: false.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 200 (successful operation).
- The response body will be a JSON array of `Bundle` objects (as defined in #/definitions/Bundle) matching the external key. (Note: API returns an array, typically for a unique external key, this array would contain one element if found).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 404 if the bundle is not found."
60,GET,True,Implement/Test API: GET /1.0/kb/bundles/{bundleId}/auditLogsWithHistory - Retrieve bundle audit logs with history by id,"This API retrieves audit logs with history for a specific bundle by its ID.

As a user of KillBill API, I should be able to retrieve audit logs for a bundle based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

GET {{baseUrl}}/1.0/kb/bundles/{bundleId}/auditLogsWithHistory

Path Parameters:
- `bundleId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the bundle. Required: true.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 200 (successful operation).
- The response body will be a JSON array of `AuditLog` objects (as defined in #/definitions/AuditLog).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 404 if the subscription bundle is not found."
61,GET,True,Implement/Test API: GET /1.0/kb/bundles/pagination - List bundles,"This API lists subscription bundles with pagination support.

As a user of KillBill API, I should be able to list bundles based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

GET {{baseUrl}}/1.0/kb/bundles/pagination

Query Parameters:
- `offset` (`integer`, format: `int64`, default: `0`): The offset for pagination. Required: false.
- `limit` (`integer`, format: `int64`, default: `100`): The limit for pagination. Required: false.
- `audit` (`string`, default: `NONE`, enum: `[FULL, MINIMAL, NONE]`): Level of audit information to retrieve for each bundle. Required: false.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 200 (successful operation).
- The response body will be a JSON array of `Bundle` objects (as defined in #/definitions/Bundle).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code >=400 depending on the error encountered (e.g., invalid pagination parameters)."
